"year","state","sector","source","carbdiox_millmtrcton"
1991,"alabama","All","Natural Gas",13.9
1991,"alabama","All","All",114.2
1992,"alabama","Residential","Coal",0
1992,"alabama","Residential","Petroleum Products",0.5
1992,"alabama","Residential","Natural Gas",2.7
1992,"alabama","Residential","All",3.2
1992,"alabama","Commercial","Coal",0.2
1992,"alabama","Commercial","Petroleum Products",0.6
1992,"alabama","Commercial","Natural Gas",1.4
1992,"alabama","Commercial","All",2.1
1992,"alabama","Industrial","Coal",15.5
1992,"alabama","Industrial","Petroleum Products",3.3
1992,"alabama","Industrial","Natural Gas",9.9
1992,"alabama","Industrial","All",28.7
1992,"alabama","Transportation","Coal",0
1992,"alabama","Transportation","Petroleum Products",28.3
1992,"alabama","Transportation","Natural Gas",1
1992,"alabama","Transportation","All",29.3
1992,"alabama","Electric Power","Coal",57.3
1992,"alabama","Electric Power","Petroleum Products",0.1
1992,"alabama","Electric Power","Natural Gas",0.3
1992,"alabama","Electric Power","All",57.6
1992,"alabama","All","Coal",72.9
1992,"alabama","All","Petroleum Products",32.7
1992,"alabama","All","Natural Gas",15.3
1992,"alabama","All","All",120.9
1993,"alabama","Residential","Coal",0
1993,"alabama","Residential","Petroleum Products",0.6
1993,"alabama","Residential","Natural Gas",2.8
1993,"alabama","Residential","All",3.4
1993,"alabama","Commercial","Coal",0.1
1993,"alabama","Commercial","Petroleum Products",0.6
1993,"alabama","Commercial","Natural Gas",1.4
1993,"alabama","Commercial","All",2
1993,"alabama","Industrial","Coal",13.2
1993,"alabama","Industrial","Petroleum Products",3.5
1993,"alabama","Industrial","Natural Gas",10.6
1993,"alabama","Industrial","All",27.3
1993,"alabama","Transportation","Coal",0
1993,"alabama","Transportation","Petroleum Products",28.5
1993,"alabama","Transportation","Natural Gas",0.9
1993,"alabama","Transportation","All",29.4
1993,"alabama","Electric Power","Coal",63.2
1993,"alabama","Electric Power","Petroleum Products",0.1
1993,"alabama","Electric Power","Natural Gas",0.3
1993,"alabama","Electric Power","All",63.6
