"year","state","population"
1987,"rhode island",989597
1987,"south carolina",3380520
1987,"south dakota",696032
1987,"tennessee",4782935
1987,"texas",16621954
1987,"utah",1678126
1987,"virginia",5932261
1987,"vermont",540266
1987,"washington",4531896
1987,"wisconsin",4777977
1987,"west virginia",1857590
1987,"wyoming",476974
1988,"alaska",541999
1988,"alabama",4023902
1988,"arkansas",2342643
1988,"arizona",3535200
1988,"california",28464230
1988,"colorado",3262279
1988,"connecticut",3271957
1988,"district of columbia",630427
1988,"delaware",647621
1988,"florida",12306421
1988,"georgia",6316185
1988,"hawaii",1079830
1988,"iowa",2768370
1988,"idaho",985680
1988,"illinois",11390222
1988,"indiana",5491729
1988,"kansas",2462057
1988,"kentucky",3679990
1988,"louisiana",4288939
1988,"massachusetts",5979997
1988,"maryland",4657894
1988,"maine",1203850
1988,"michigan",9218025
1988,"minnesota",4296162
1988,"missouri",5081731
1988,"mississippi",2580377
1988,"montana",800194
1988,"north carolina",6480675
1988,"north dakota",655324
1988,"nebraska",1571465
1988,"new hampshire",1082583
1988,"new jersey",7712352
1988,"new mexico",1490356
1988,"nevada",1075033
1988,"new york",17941357
1988,"ohio",10798630
1988,"oklahoma",3167148
1988,"oregon",2741316
1988,"pennsylvania",11845774
1988,"rhode island",996406
1988,"south carolina",3412102
1988,"south dakota",698144
1988,"tennessee",4822432
1988,"texas",16667146
1988,"utah",1689374
1988,"virginia",6036907
1988,"vermont",549758
1988,"washington",4639911
1988,"wisconsin",4822365
1988,"west virginia",1830227
1988,"wyoming",465080
1989,"alaska",547170
1989,"alabama",4030239
1989,"arkansas",2346375
1989,"arizona",3622180
1989,"california",29218163
1989,"colorado",3275826
1989,"connecticut",3283420
1989,"district of columbia",624160
1989,"delaware",658279
1989,"florida",12637697
1989,"georgia",6411121
1989,"hawaii",1094587
1989,"iowa",2770581
1989,"idaho",994396
1989,"illinois",11409801
1989,"indiana",5523668
1989,"kansas",2472864
1989,"kentucky",3677287
1989,"louisiana",4252958
1989,"massachusetts",6015492
1989,"maryland",4727303
1989,"maine",1219968
1989,"michigan",9253339
1989,"minnesota",4338036
1989,"missouri",5095833
1989,"mississippi",2574306
1989,"montana",799657
1989,"north carolina",6565546
1989,"north dakota",646359
1989,"nebraska",1574848
1989,"new hampshire",1104519
1989,"new jersey",7726114
1989,"new mexico",1503936
1989,"nevada",1137391
1989,"new york",17983082
1989,"ohio",10829255
1989,"oklahoma",3150372
1989,"oregon",2790579
1989,"pennsylvania",11866027
1989,"rhode island",1000670
1989,"south carolina",3456772
1989,"south dakota",696787
1989,"tennessee",4854463
1989,"texas",16806831
1989,"utah",1705886
1989,"virginia",6120244
1989,"vermont",557715
1989,"washington",4746314
1989,"wisconsin",4856478
1989,"west virginia",1806569
1989,"wyoming",458376
1990,"alaska",553290
1990,"alabama",4050055
1990,"arkansas",2356586
1990,"arizona",3684097
1990,"california",29959515
1990,"colorado",3307618
1990,"connecticut",3291967
1990,"district of columbia",605321
1990,"delaware",669567
1990,"florida",13033307
1990,"georgia",6512602
1990,"hawaii",1113491
1990,"iowa",2781018
1990,"idaho",1012384
1990,"illinois",11453316
1990,"indiana",5557798
1990,"kansas",2481349
1990,"kentucky",3694048
1990,"louisiana",4221532
1990,"massachusetts",6022639
1990,"maryland",4799770
1990,"maine",1231719
1990,"michigan",9311319
1990,"minnesota",4389857
1990,"missouri",5128880
1990,"mississippi",2578897
1990,"montana",800204
1990,"north carolina",6664016
1990,"north dakota",637685
1990,"nebraska",1581660
1990,"new hampshire",1112384
1990,"new jersey",7762963
1990,"new mexico",1521574
1990,"nevada",1220695
1990,"new york",18020784
1990,"ohio",10864162
1990,"oklahoma",3148825
1990,"oregon",2860375
1990,"pennsylvania",11903299
1990,"rhode island",1005995
1990,"south carolina",3501155
1990,"south dakota",697101
1990,"tennessee",4894492
1990,"texas",17056755
1990,"utah",1731223
1990,"virginia",6216884
1990,"vermont",564798
1990,"washington",4903043
1990,"wisconsin",4904562
1990,"west virginia",1792548
1990,"wyoming",453690
1991,"alaska",570193
1991,"alabama",4099156
1991,"arkansas",2383144
1991,"arizona",3788576
1991,"california",30470736
1991,"colorado",3387119
1991,"connecticut",3302895
1991,"district of columbia",600870
1991,"delaware",683080
1991,"florida",13369798
1991,"georgia",6653005
1991,"hawaii",1136754
1991,"iowa",2797613
1991,"idaho",1041316
1991,"illinois",11568964
1991,"indiana",5616388
1991,"kansas",2498722
1991,"kentucky",3722328
1991,"louisiana",4253279
1991,"massachusetts",6018470
1991,"maryland",4867641
1991,"maine",1237081
1991,"michigan",9400446
1991,"minnesota",4440859
1991,"missouri",5170800
1991,"mississippi",2598733
1991,"montana",809680
1991,"north carolina",6784280
1991,"north dakota",635753
1991,"nebraska",1595919
1991,"new hampshire",1109929
1991,"new jersey",7814676
1991,"new mexico",1555305
1991,"nevada",1296171
1991,"new york",18122510
1991,"ohio",10945762
1991,"oklahoma",3175440
1991,"oregon",2928507
1991,"pennsylvania",11982164
1991,"rhode island",1010649
1991,"south carolina",3570404
1991,"south dakota",703669
1991,"tennessee",4966587
1991,"texas",17398005
1991,"utah",1779780
1991,"virginia",6301217
1991,"vermont",568606
1991,"washington",5025624
1991,"wisconsin",4964343
1991,"west virginia",1798735
1991,"wyoming",459260
1992,"alaska",588736
1992,"alabama",4154014
1992,"arkansas",2415984
1992,"arizona",3915740
1992,"california",30974659
1992,"colorado",3495939
1992,"connecticut",3300712
1992,"district of columbia",597565
1992,"delaware",694925
1992,"florida",13650553
1992,"georgia",6817203
1992,"hawaii",1158613
1992,"iowa",2818401
1992,"idaho",1071685
1992,"illinois",11694184
1992,"indiana",5674547
1992,"kansas",2532394
1992,"kentucky",3765469
1992,"louisiana",4293003
1992,"massachusetts",6028709
1992,"maryland",4923368
1992,"maine",1238508
1992,"michigan",9479065
1992,"minnesota",4495572
1992,"missouri",5217101
1992,"mississippi",2623734
1992,"montana",825770
1992,"north carolina",6897214
1992,"north dakota",638223
1992,"nebraska",1611687
1992,"new hampshire",1117784
1992,"new jersey",7880508
1992,"new mexico",1595442
1992,"nevada",1351367
1992,"new york",18246653
1992,"ohio",11029431
1992,"oklahoma",3220517
1992,"oregon",2991755
1992,"pennsylvania",12049450
1992,"rhode island",1012581
1992,"south carolina",3620464
1992,"south dakota",712801
1992,"tennessee",5049742
1992,"texas",17759738
1992,"utah",1836799
1992,"virginia",6414307
1992,"vermont",572751
1992,"washington",5160757
1992,"wisconsin",5025398
1992,"west virginia",1806451
1992,"wyoming",466251
1993,"alaska",599432
1993,"alabama",4214202
1993,"arkansas",2456303
1993,"arizona",4065440
1993,"california",31274928
1993,"colorado",3613734
1993,"connecticut",3309175
1993,"district of columbia",595301
1993,"delaware",706378
1993,"florida",13927185
1993,"georgia",6978240
1993,"hawaii",1172838
1993,"iowa",2836972
1993,"idaho",1108768
1993,"illinois",11809579
1993,"indiana",5739019
1993,"kansas",2556547
1993,"kentucky",3812206
1993,"louisiana",4316428
1993,"massachusetts",6060569
1993,"maryland",4971889
1993,"maine",1242302
1993,"michigan",9540114
1993,"minnesota",4555954
1993,"missouri",5271175
1993,"mississippi",2655100
1993,"montana",844761
1993,"north carolina",7042818
1993,"north dakota",641216
1993,"nebraska",1625590
1993,"new hampshire",1129458
1993,"new jersey",7948915
1993,"new mexico",1636453
1993,"nevada",1411215
1993,"new york",18374954
1993,"ohio",11101140
1993,"oklahoma",3252285
1993,"oregon",3060367
1993,"pennsylvania",12119724
1993,"rhode island",1015112
1993,"south carolina",3663314
1993,"south dakota",722159
1993,"tennessee",5137584
1993,"texas",18161612
1993,"utah",1898404
1993,"virginia",6509630
1993,"vermont",577748
1993,"washington",5278842
1993,"wisconsin",5084889
1993,"west virginia",1817539
1993,"wyoming",473081
1994,"alaska",603308
1994,"alabama",4260229
1994,"arkansas",2494019
1994,"arizona",4245089
1994,"california",31484435
1994,"colorado",3724168
1994,"connecticut",3316121
1994,"district of columbia",589239
1994,"delaware",717545
1994,"florida",14239444
1994,"georgia",7157165
1994,"hawaii",1187536
1994,"iowa",2850746
1994,"idaho",1145140
1994,"illinois",11912585
1994,"indiana",5793526
1994,"kansas",2580513
1994,"kentucky",3849088
1994,"louisiana",4347481
1994,"massachusetts",6095241
1994,"maryland",5023060
1994,"maine",1242662
1994,"michigan",9597737
1994,"minnesota",4610355
1994,"missouri",5324497
1994,"mississippi",2688992
1994,"montana",861306
1994,"north carolina",7187398
1994,"north dakota",644804
1994,"nebraska",1639041
1994,"new hampshire",1142560
1994,"new jersey",8014306
1994,"new mexico",1682398
1994,"nevada",1499298
1994,"new york",18459470
1994,"ohio",11152454
1994,"oklahoma",3280940
1994,"oregon",3121264
1994,"pennsylvania",12166050
1994,"rhode island",1015960
1994,"south carolina",3705397
1994,"south dakota",730790
1994,"tennessee",5231438
1994,"texas",18564062
1994,"utah",1960446
1994,"virginia",6593139
1994,"vermont",583836
1994,"washington",5375161
1994,"wisconsin",5133678
1994,"west virginia",1820421
1994,"wyoming",480283
1995,"alaska",604412
1995,"alabama",4296800
1995,"arkansas",2535399
1995,"arizona",4432499
1995,"california",31696582
1995,"colorado",3826653
1995,"connecticut",3324144
1995,"district of columbia",580517
1995,"delaware",729734
1995,"florida",14537875
1995,"georgia",7328413
1995,"hawaii",1196854
1995,"iowa",2867373
1995,"idaho",1177322
1995,"illinois",12008437
1995,"indiana",5851459
1995,"kansas",2601007
1995,"kentucky",3887427
1995,"louisiana",4378779
1995,"massachusetts",6141445
1995,"maryland",5070033
1995,"maine",1243480
1995,"michigan",9676211
1995,"minnesota",4660180
1995,"missouri",5378247
1995,"mississippi",2722659
1995,"montana",876553
1995,"north carolina",7344674
1995,"north dakota",647832
1995,"nebraska",1656992
1995,"new hampshire",1157561
1995,"new jersey",8083242
1995,"new mexico",1720394
1995,"nevada",1581578
1995,"new york",18524104
1995,"ohio",11202751
1995,"oklahoma",3308208
1995,"oregon",3184369
1995,"pennsylvania",12198403
1995,"rhode island",1017002
1995,"south carolina",3748582
1995,"south dakota",737925
1995,"tennessee",5326936
1995,"texas",18958751
1995,"utah",2014177
1995,"virginia",6670693
1995,"vermont",589002
1995,"washington",5481027
1995,"wisconsin",5184836
1995,"west virginia",1823700
1995,"wyoming",485160
1996,"alaska",608569
1996,"alabama",4331102
1996,"arkansas",2572109
1996,"arizona",4586940
1996,"california",32018834
1996,"colorado",3919972
1996,"connecticut",3336685
1996,"district of columbia",572377
1996,"delaware",740977
1996,"florida",14853360
1996,"georgia",7501069
1996,"hawaii",1203755
1996,"iowa",2880000
1996,"idaho",1203083
1996,"illinois",12101997
1996,"indiana",5906013
