"year","state","gdp.nominal","gdp.adjusted"
1987,"iowa",45283,360905
1987,"kansas",44164,351987
1987,"kentucky",56282,448567
1987,"louisiana",78488,625549
1987,"maine",19166,152753
1987,"maryland",91380,728298
1987,"massachusetts",138900,1107033
1987,"michigan",169237,1348818
1987,"minnesota",85365,680359
1987,"mississippi",33531,267242
1987,"missouri",88912,708628
1987,"montana",11383,90722
1987,"nebraska",26760,213277
1987,"nevada",21951,174949
1987,"new hampshire",20994,167322
1987,"new jersey",174629,1391793
1987,"new mexico",22429,178759
1987,"new york",418306,3333898
1987,"north carolina",113262,902698
1987,"north dakota",10306,82138
1987,"ohio",191784,1528518
1987,"oklahoma",49055,390968
1987,"oregon",44594,355414
1987,"pennsylvania",202910,1617192
1987,"rhode island",17891,142591
1987,"south carolina",52688,419923
1987,"south dakota",10669,85031
1987,"tennessee",80715,643298
1987,"texas",300667,2396315
1987,"utah",25100,200047
1987,"vermont",9157,72981
1987,"virginia",117603,937295
1987,"washington",90325,719890
1987,"west virginia",23425,186697
1987,"wisconsin",82013,653643
1987,"wyoming",10370,82648
1988,"alabama",66008,526083
1988,"alaska",21270,169521
1988,"arizona",64945,517611
1988,"arkansas",35004,278981
1988,"california",671575,5352452
1988,"colorado",67757,540023
1988,"connecticut",90707,722934
1988,"delaware",16887,134589
1988,"district of columbia",35226,280751
1988,"florida",224848,1792038
1988,"georgia",126565,1008723
1988,"hawaii",26799,213588
1988,"idaho",15285,121821
1988,"illinois",252197,2010010
1988,"indiana",99492,792951
1988,"iowa",49088,391231
1988,"kansas",46698,372183
1988,"kentucky",61851,492952
1988,"louisiana",83196,663072
1988,"maine",21371,170326
1988,"maryland",101280,807201
1988,"massachusetts",151625,1208451
1988,"michigan",180621,1439549
1988,"minnesota",91896,732411
1988,"mississippi",35534,283205
1988,"missouri",95760,763207
1988,"montana",11703,93272
1988,"nebraska",29262,233218
1988,"nevada",24987,199146
1988,"new hampshire",22937,182807
1988,"new jersey",194709,1551830
1988,"new mexico",23457,186952
1988,"new york",456557,3638759
1988,"north carolina",124303,990694
1988,"north dakota",9748,77691
1988,"ohio",205308,1636304
1988,"oklahoma",52667,419755
1988,"oregon",49138,391629
1988,"pennsylvania",220582,1758038
1988,"rhode island",19738,157311
1988,"south carolina",57329,456912
1988,"south dakota",11173,89048
1988,"tennessee",87356,696227
1988,"texas",327354,2609011
1988,"utah",27325,217780
1988,"vermont",10259,81764
1988,"virginia",128088,1020861
1988,"washington",99051,789436
1988,"west virginia",25876,206231
1988,"wisconsin",89620,714271
1988,"wyoming",10991,87598
1989,"alabama",68394,545100
1989,"alaska",23453,186920
1989,"arizona",67895,541123
1989,"arkansas",37128,295910
1989,"california",722979,5762142
1989,"colorado",71179,567296
1989,"connecticut",95831,763773
1989,"delaware",18900,150633
1989,"district of columbia",37469,298627
1989,"florida",241633,1925815
1989,"georgia",133794,1066338
1989,"hawaii",29427,234533
1989,"idaho",16909,134764
1989,"illinois",266608,2124865
1989,"indiana",107199,854376
1989,"iowa",52907,421668
1989,"kansas",48814,389047
1989,"kentucky",65525,522234
1989,"louisiana",87574,697964
1989,"maine",22670,180679
1989,"maryland",107444,856328
1989,"massachusetts",158200,1260854
1989,"michigan",190626,1519289
1989,"minnesota",98313,783554
1989,"mississippi",37208,296547
1989,"missouri",101412,808253
1989,"montana",12630,100661
1989,"nebraska",31332,249716
1989,"nevada",27847,221940
1989,"new hampshire",23777,189502
1989,"new jersey",205075,1634447
1989,"new mexico",24927,198668
1989,"new york",473252,3771818
1989,"north carolina",133866,1066912
1989,"north dakota",10729,85510
1989,"ohio",217817,1736001
1989,"oklahoma",55007,438405
1989,"oregon",52610,419301
1989,"pennsylvania",233162,1858301
1989,"rhode island",21059,167840
1989,"south carolina",61347,488935
1989,"south dakota",11790,93966
1989,"tennessee",91579,729884
1989,"texas",349952,2789117
1989,"utah",28668,228483
1989,"vermont",11120,88626
1989,"virginia",137661,1097158
1989,"washington",108064,861270
1989,"west virginia",26663,212504
1989,"wisconsin",95216,758871
1989,"wyoming",11437,91152
1990,"alabama",71610,570731
1990,"alaska",25040,199568
1990,"arizona",70632,562937
1990,"arkansas",38680,308279
1990,"california",773460,6164476
1990,"colorado",75571,602300
1990,"connecticut",100169,798346
1990,"delaware",19928,158826
1990,"district of columbia",39688,316313
1990,"florida",256589,2045014
1990,"georgia",140646,1120948
1990,"hawaii",32534,259295
1990,"idaho",18004,143491
1990,"illinois",279019,2223781
1990,"indiana",110860,883554
1990,"iowa",56121,447284
1990,"kansas",51874,413435
1990,"kentucky",68412,545243
1990,"louisiana",95177,758560
1990,"maine",23256,185350
1990,"maryland",112835,899294
1990,"massachusetts",159505,1271254
1990,"michigan",193103,1539030
1990,"minnesota",102757,818973
1990,"mississippi",38757,308893
1990,"missouri",103566,825421
1990,"montana",13242,105538
1990,"nebraska",33734,268859
1990,"nevada",30980,246910
1990,"new hampshire",23768,189430
1990,"new jersey",214357,1708425
1990,"new mexico",26600,212002
1990,"new york",493192,3930740
1990,"north carolina",139658,1113074
1990,"north dakota",11509,91726
1990,"ohio",227413,1812481
1990,"oklahoma",57805,460705
1990,"oregon",56566,450831
1990,"pennsylvania",245281,1954889
1990,"rhode island",21664,172662
1990,"south carolina",65157,519301
1990,"south dakota",12770,101776
1990,"tennessee",94087,749873
1990,"texas",378943,3020175
1990,"utah",31249,249054
1990,"vermont",11674,93041
1990,"virginia",144971,1155418
1990,"washington",118640,945560
1990,"west virginia",27754,221199
1990,"wisconsin",100236,798880
1990,"wyoming",12705,101258
1991,"alabama",76043,606062
1991,"alaska",22283,177595
1991,"arizona",73358,584663
1991,"arkansas",41572,331328
1991,"california",790046,6296666
1991,"colorado",79766,635735
1991,"connecticut",101475,808755
1991,"delaware",21746,173315
1991,"district of columbia",41430,330197
1991,"florida",267669,2133321
1991,"georgia",147760,1177647
1991,"hawaii",34357,273825
1991,"idaho",18852,150250
1991,"illinois",288473,2299129
1991,"indiana",114637,913656
1991,"iowa",57944,461813
1991,"kansas",53981,430228
1991,"kentucky",71679,571281
1991,"louisiana",96043,765462
